"10px","10px"
"<a href="http://developers.facebook.com/setup/" target="_bank">Register to Facebook</a>","<a href="http://developers.facebook.com/setup/" target="_bank">Register to Facebook</a>"
"Allow referring friends via","Permitir o envio de amigos via"
"Custom Url","URL personalizado"
"Default Message Shared on Facebook","Mensagem padrão compartilhada no Facebook"
"Default Invite Email Content","Padrão Convidar Conteúdo de E-mail"
"Default Subject of Invitation Email","Assunto padrão do convite por email"
"Default Message Shared on Twitter","Mensagem padrão compartilhada no Twitter"
"Email","Email"
"Email to a Friend","E-mail para um amigo"
"Email to friends","E-mail para amigos"
"Enter your friends","Digite seus amigos"
"Facebook","Facebook"
"Facebook Application ID","ID do aplicativo do Facebook"
"Facebook Application Secret","Segredo do Aplicativo do Facebook"
"From","De"
"Gmail","Gmail"
"Google Consumer Key","Google Consumer Key"
"Google Consumer Secret","Google Consumer Secret"
"Google+","Google+"
"No email address is available!","Nenhum endereço de e-mail está disponível!"
"No email has been sent.","Nenhum email foi enviado."
"Commissions","Comissão"
"Or retrieve contacts from","Ou recuperar contatos de"
"Personal URL","URL pessoal"
"Personal Url Prefix","Prefixo de URL pessoal"
"Please enter a valid custom url","Insira um URL personalizado válido"
"Post on Facebook","Postar no Facebook"
"Refer Friend Description","Indique a Descrição do Amigo"
"Description","Descrição"
"Friend Referring Configuration","Configuração de referência de amigo"
"Friend Referring Email","E-mail de referência de amigo"
"Refer Friends and Earn Money","Indique amigos e ganhe dinheiro"
"Refer Friends page","refira a página dos amigos"
"Friend referring email template","Modelo de e-mail de referência de amigo"
"Save","Salvar"
"Select Contacts","Selecionar contatos"
"Select contacts to send email","Selecionar contatos para enviar e-mail"
"Send Email","Enviar e-mail"
"Sending Email","Enviando e-mail"
"Share","Compartilhe"
"Share on Facebook","Compartilhe no Facebook"
"Share on Google Plus","Compartilhar no Google Plus"
"Share on Twitter","Compartilhe no Twitter"
"Sharing Message","Compartilhando Mensagem"
"Show on My account/ Affiliate Menu","Exibir em minha conta / menu de Afiliados"
"Show on list product page","Mostrar na página do produto da lista"
"Show on product details page","Mostrar na página de detalhes do produto"
"Refer Friends link","referir amigos link"
"Shown on the Refer Friends page. Texts can be written in HTML for better display.","Mostrado na página Referir Amigos. Textos podem ser escritos em HTML para melhor exibição."
"Shown on the Sharing box's header. Texts can be written in HTML for better display.","Mostrado no cabeçalho da caixa de compartilhamento. Os textos podem ser escritos em HTML para melhor exibição."
"Social Configuration","Configuração Social"
"Subject","Assunto"
"This message has been posted successfully.","Esta mensagem foi postada com sucesso."
"This url already exists. Please choose another custom url.","Este URL já existe. Escolha outro URL personalizado."
"Traffic sources","Fontes de tráfego"
"Tweet","Tweet"
"Refer Friends","Indique amigos"
"Twitter","Twitter"
"Used for invitation email when referring friends","Usado para e-mail de convite ao indicar amigos"
"Yahoo","Yahoo"
"Yahoo Application ID","ID de aplicativo do Yahoo"
"Yahoo Consumer Key","Chave do Consumidor Yahoo"
"Yahoo Consumer Secret","Segredo do consumidor do Yahoo"
"Your custom url has been saved successfully!","Seu URL personalizado foi salvo com sucesso!"
"Your personal affiliate URL","Sua URL de Afiliado pessoal"
"get contacts from gmail","receber contatos do gmail"
"get contacts from yahoo","obter contatos do yahoo"
"Quickly log in to your ","Conecte-se rapidamente ao seu"
" and send messages"," e enviar mensagens"
